alpha.air_average,Points:0,Points:1,Points:2
0.71085,0.08,0.17,0
0.687084,0.09,0.17,0
0.672093,0.1,0.17,0
0.668912,0.11,0.17,0
0.664369,0.12,0.17,0
0.656437,0.13,0.17,0
0.652331,0.14,0.17,0
0.650589,0.15,0.17,0
0.64774,0.16,0.17,0
0.649565,0.17,0.17,0
0.656603,0.18,0.17,0
0.665012,0.19,0.17,0
0.677336,0.2,0.17,0
0.688386,0.21,0.17,0
0.69248,0.22,0.17,0
0.688919,0.23,0.17,0
0.681297,0.24,0.17,0
0.660574,0.25,0.17,0
0.614949,0.26,0.17,0
0.567378,0.27,0.17,0
0.548159,0.28,0.17,0
0.520385,0,0.18,0
0.53487,0.01,0.18,0
0.572709,0.02,0.18,0
0.625816,0.03,0.18,0
0.67535,0.04,0.18,0
0.710648,0.05,0.18,0
0.732769,0.06,0.18,0
0.73712,0.07,0.18,0
0.724356,0.08,0.18,0
0.699611,0.09,0.18,0
0.678639,0.1,0.18,0
0.670038,0.11,0.18,0
0.663597,0.12,0.18,0
0.656482,0.13,0.18,0
0.654694,0.14,0.18,0
0.653036,0.15,0.18,0
0.64618,0.16,0.18,0
0.641673,0.17,0.18,0
0.643758,0.18,0.18,0
0.651078,0.19,0.18,0
0.663815,0.2,0.18,0
0.674019,0.21,0.18,0
0.675025,0.22,0.18,0
0.667991,0.23,0.18,0
0.661505,0.24,0.18,0
0.641478,0.25,0.18,0
0.595883,0.26,0.18,0
0.551024,0.27,0.18,0
0.532826,0.28,0.18,0
0.513862,0,0.19,0
0.525668,0.01,0.19,0
0.560925,0.02,0.19,0
0.615085,0.03,0.19,0
0.665317,0.04,0.19,0
0.701211,0.05,0.19,0
0.728014,0.06,0.19,0
0.739642,0.07,0.19,0
0.733854,0.08,0.19,0
0.712282,0.09,0.19,0
0.686791,0.1,0.19,0
0.672491,0.11,0.19,0
0.664492,0.12,0.19,0
0.656731,0.13,0.19,0
0.655086,0.14,0.19,0
0.653286,0.15,0.19,0
0.644782,0.16,0.19,0
0.639067,0.17,0.19,0
0.639465,0.18,0.19,0
0.643768,0.19,0.19,0
0.652669,0.2,0.19,0
0.659518,0.21,0.19,0
0.656095,0.22,0.19,0
0.645484,0.23,0.19,0
0.638048,0.24,0.19,0
0.618203,0.25,0.19,0
0.578217,0.26,0.19,0
0.542437,0.27,0.19,0
0.528373,0.28,0.19,0
0.511102,0,0.2,0
0.519742,0.01,0.2,0
0.549134,0.02,0.2,0
0.602542,0.03,0.2,0
0.656391,0.04,0.2,0
0.693551,0.05,0.2,0
0.721025,0.06,0.2,0
0.736921,0.07,0.2,0
0.739538,0.08,0.2,0
0.725145,0.09,0.2,0
0.698183,0.1,0.2,0
0.677921,0.11,0.2,0
0.665951,0.12,0.2,0
0.655681,0.13,0.2,0
0.651559,0.14,0.2,0
0.647277,0.15,0.2,0
0.637989,0.16,0.2,0
0.634183,0.17,0.2,0
0.637169,0.18,0.2,0
0.641017,0.19,0.2,0
0.645464,0.2,0.2,0
0.646601,0.21,0.2,0
0.638921,0.22,0.2,0
0.627482,0.23,0.2,0
0.617975,0.24,0.2,0
0.59774,0.25,0.2,0
0.567102,0.26,0.2,0
0.540522,0.27,0.2,0
0.528745,0.28,0.2,0
0.514283,0,0.21,0
0.521436,0.01,0.21,0
0.544317,0.02,0.21,0
0.590349,0.03,0.21,0
0.646012,0.04,0.21,0
0.689134,0.05,0.21,0
0.719507,0.06,0.21,0
0.736943,0.07,0.21,0
0.743517,0.08,0.21,0
0.735677,0.09,0.21,0
0.710512,0.1,0.21,0
0.685624,0.11,0.21,0
0.667675,0.12,0.21,0
0.653197,0.13,0.21,0
0.644689,0.14,0.21,0
0.636224,0.15,0.21,0
0.628285,0.16,0.21,0
0.627994,0.17,0.21,0
0.632176,0.18,0.21,0
0.636577,0.19,0.21,0
0.638376,0.2,0.21,0
0.634238,0.21,0.21,0
0.625534,0.22,0.21,0
0.617828,0.23,0.21,0
0.607156,0.24,0.21,0
0.58538,0.25,0.21,0
0.560924,0.26,0.21,0
0.537467,0.27,0.21,0
0.524499,0.28,0.21,0
0.518095,0,0.22,0
0.525798,0.01,0.22,0
0.547278,0.02,0.22,0
0.585266,0.03,0.22,0
0.634902,0.04,0.22,0
0.681016,0.05,0.22,0
0.717082,0.06,0.22,0
0.737917,0.07,0.22,0
0.745736,0.08,0.22,0
0.740998,0.09,0.22,0
0.717816,0.1,0.22,0
0.690023,0.11,0.22,0
0.66908,0.12,0.22,0
0.652395,0.13,0.22,0
0.639126,0.14,0.22,0
0.626175,0.15,0.22,0
0.618992,0.16,0.22,0
0.62248,0.17,0.22,0
0.62893,0.18,0.22,0
0.634241,0.19,0.22,0
0.633377,0.2,0.22,0
0.627668,0.21,0.22,0
0.620339,0.22,0.22,0
0.613093,0.23,0.22,0
0.598956,0.24,0.22,0
0.574991,0.25,0.22,0
0.553846,0.26,0.22,0
0.531437,0.27,0.22,0
0.517982,0.28,0.22,0
0.521139,0,0.23,0
0.529395,0.01,0.23,0
0.553351,0.02,0.23,0
0.588814,0.03,0.23,0
0.629052,0.04,0.23,0
0.669645,0.05,0.23,0
0.706576,0.06,0.23,0
0.731666,0.07,0.23,0
0.741567,0.08,0.23,0
0.737698,0.09,0.23,0
0.717087,0.1,0.23,0
0.689001,0.11,0.23,0
0.667499,0.12,0.23,0
0.650918,0.13,0.23,0
0.635165,0.14,0.23,0
0.621572,0.15,0.23,0
0.614308,0.16,0.23,0
0.617821,0.17,0.23,0
0.629388,0.18,0.23,0
0.641376,0.19,0.23,0
0.644854,0.2,0.23,0
0.640197,0.21,0.23,0
0.627912,0.22,0.23,0
0.612143,0.23,0.23,0
0.591385,0.24,0.23,0
0.569251,0.25,0.23,0
0.555368,0.26,0.23,0
0.53695,0.27,0.23,0
0.524731,0.28,0.23,0
0.522487,0,0.24,0
0.530468,0.01,0.24,0
0.555177,0.02,0.24,0
0.59074,0.03,0.24,0
0.627383,0.04,0.24,0
0.662315,0.05,0.24,0
0.694596,0.06,0.24,0
0.719725,0.07,0.24,0
0.730475,0.08,0.24,0
0.725924,0.09,0.24,0
0.708921,0.1,0.24,0
0.684734,0.11,0.24,0
