alpha.air_average,Points:0,Points:1,Points:2
0.720074,0.04,0.13,0
0.749516,0.05,0.13,0
0.748833,0.06,0.13,0
0.721619,0.07,0.13,0
0.681391,0.08,0.13,0
0.64869,0.09,0.13,0
0.628508,0.1,0.13,0
0.617269,0.11,0.13,0
0.613724,0.12,0.13,0
0.617133,0.13,0.13,0
0.627853,0.14,0.13,0
0.643046,0.15,0.13,0
0.656496,0.16,0.13,0
0.668377,0.17,0.13,0
0.688333,0.18,0.13,0
0.714472,0.19,0.13,0
0.73608,0.2,0.13,0
0.753068,0.21,0.13,0
0.76919,0.22,0.13,0
0.761021,0.23,0.13,0
0.707365,0.24,0.13,0
0.620885,0.25,0.13,0
0.557464,0.26,0.13,0
0.538171,0.27,0.13,0
0.533799,0.28,0.13,0
0.546207,0,0.14,0
0.558282,0.01,0.14,0
0.589824,0.02,0.14,0
0.648939,0.03,0.14,0
0.708664,0.04,0.14,0
0.741417,0.05,0.14,0
0.75174,0.06,0.14,0
0.733181,0.07,0.14,0
0.697451,0.08,0.14,0
0.665679,0.09,0.14,0
0.646844,0.1,0.14,0
0.63585,0.11,0.14,0
0.625166,0.12,0.14,0
0.61847,0.13,0.14,0
0.623,0.14,0.14,0
0.635242,0.15,0.14,0
0.650133,0.16,0.14,0
0.668802,0.17,0.14,0
0.691462,0.18,0.14,0
0.713551,0.19,0.14,0
0.732363,0.2,0.14,0
0.751951,0.21,0.14,0
0.766012,0.22,0.14,0
0.750334,0.23,0.14,0
0.690474,0.24,0.14,0
0.603078,0.25,0.14,0
0.546077,0.26,0.14,0
0.533409,0.27,0.14,0
0.53174,0.28,0.14,0
0.545831,0,0.15,0
0.555488,0.01,0.15,0
0.584809,0.02,0.15,0
0.641333,0.03,0.15,0
0.696324,0.04,0.15,0
0.728883,0.05,0.15,0
0.746541,0.06,0.15,0
0.736931,0.07,0.15,0
0.707181,0.08,0.15,0
0.679812,0.09,0.15,0
0.666184,0.1,0.15,0
0.657216,0.11,0.15,0
0.64206,0.12,0.15,0
0.625539,0.13,0.15,0
0.620558,0.14,0.15,0
0.630147,0.15,0.15,0
0.648271,0.16,0.15,0
0.670294,0.17,0.15,0
0.691751,0.18,0.15,0
0.711669,0.19,0.15,0
0.732583,0.2,0.15,0
0.754931,0.21,0.15,0
0.764412,0.22,0.15,0
0.742111,0.23,0.15,0
0.676643,0.24,0.15,0
0.591771,0.25,0.15,0
0.542305,0.26,0.15,0
0.533034,0.27,0.15,0
0.533245,0.28,0.15,0
0.547469,0,0.16,0
0.554169,0.01,0.16,0
0.581987,0.02,0.16,0
0.635189,0.03,0.16,0
0.689873,0.04,0.16,0
0.723849,0.05,0.16,0
0.739555,0.06,0.16,0
0.733741,0.07,0.16,0
0.709105,0.08,0.16,0
0.687511,0.09,0.16,0
0.67851,0.1,0.16,0
0.669815,0.11,0.16,0
0.657079,0.12,0.16,0
0.641374,0.13,0.16,0
0.631799,0.14,0.16,0
0.638405,0.15,0.16,0
0.655014,0.16,0.16,0
0.676083,0.17,0.16,0
0.69667,0.18,0.16,0
0.715845,0.19,0.16,0
0.737748,0.2,0.16,0
0.758645,0.21,0.16,0
0.764042,0.22,0.16,0
0.739021,0.23,0.16,0
0.670712,0.24,0.16,0
0.588951,0.25,0.16,0
0.545052,0.26,0.16,0
0.535466,0.27,0.16,0
0.534366,0.28,0.16,0
0.545423,0,0.17,0
0.553231,0.01,0.17,0
0.582679,0.02,0.17,0
0.629487,0.03,0.17,0
0.683922,0.04,0.17,0
0.724061,0.05,0.17,0
0.735414,0.06,0.17,0
0.728195,0.07,0.17,0
0.710323,0.08,0.17,0
0.695832,0.09,0.17,0
0.687905,0.1,0.17,0
0.677496,0.11,0.17,0
0.667362,0.12,0.17,0
0.656376,0.13,0.17,0
0.649537,0.14,0.17,0
0.655607,0.15,0.17,0
0.669763,0.16,0.17,0
0.690344,0.17,0.17,0
0.710889,0.18,0.17,0
0.727958,0.19,0.17,0
0.746355,0.2,0.17,0
0.761089,0.21,0.17,0
0.762748,0.22,0.17,0
0.737079,0.23,0.17,0
0.670622,0.24,0.17,0
0.593606,0.25,0.17,0
0.552401,0.26,0.17,0
0.537475,0.27,0.17,0
0.530406,0.28,0.17,0
0.537915,0,0.18,0
0.549346,0.01,0.18,0
0.583161,0.02,0.18,0
0.625561,0.03,0.18,0
0.674698,0.04,0.18,0
0.717661,0.05,0.18,0
0.731366,0.06,0.18,0
0.726315,0.07,0.18,0
0.716404,0.08,0.18,0
0.708126,0.09,0.18,0
0.699284,0.1,0.18,0
0.689073,0.11,0.18,0
0.678978,0.12,0.18,0
0.667207,0.13,0.18,0
0.663317,0.14,0.18,0
0.672833,0.15,0.18,0
0.68966,0.16,0.18,0
0.709721,0.17,0.18,0
0.727475,0.18,0.18,0
0.741047,0.19,0.18,0
0.753238,0.2,0.18,0
0.76065,0.21,0.18,0
0.758027,0.22,0.18,0
0.730106,0.23,0.18,0
0.668807,0.24,0.18,0
0.598957,0.25,0.18,0
0.556002,0.26,0.18,0
0.532909,0.27,0.18,0
0.520272,0.28,0.18,0
0.53261,0,0.19,0
0.542978,0.01,0.19,0
0.57686,0.02,0.19,0
0.62054,0.03,0.19,0
0.665073,0.04,0.19,0
0.704603,0.05,0.19,0
